var0|var1|var2|var3|var4|var5|var6|var7|var8|var9|var10|var11|var12|var13|var14|var15|var16|var17|var18|var19|var20|var21|var22|var23|var24|var25|var26|var27|var28|var29|var30|var31|var32|var33|var34|var35|var36|var37|var38|var39|var40|var41|var42|var43|var44|var45|var46|var47|var48|var49|var50|var51|var52|var53|var54|var55|var56|var57|var58|var59|var60|var61|var62|var63|var64|var65|var66|var67|var68
81166|91002116|Y|2005-09-27|1586.08|8333.60862077|401.0|4312.00507649|Y|2006-07-16|025|B|X|5X|6|0|*2|F|16.43|0|U|2|B|3458.6296146|22.95|5100|2013-08-17|00:00:00.108872|50|null|28|M|84924|null|2|N|M|0|45022|4|883|7|267|C|7311|458|704|8|*2|N|2013-06-23|Y|2005-06-09 00:00:01|775|P|2008-12-04 00:00:00|52|00|Y|Y|*2|826|0|2|0|4|80666554.1042|0|12.349989
1538105|84438473|N|null|4948.67|28446.2205409|1550.0|9836.70855444|Y|1990-07-24|020|B|X|5Y|27|1|*2|F|22.25|5|N|2|I|12889.3347124|142.25|1000|2013-05-26|00:00:00.108872|17|8|247|N|44019|S|1|M|P|null|1291150|0|893|9|373|D|0780|076|513|8|*2|Y|null|N|2007-12-28 00:00:01|499|M|2003-06-30 00:00:00|01|90|Y|Y|*2|348|0|0|0|3|26881769.7396|2|11.034712
7034519|87553550|N|2004-12-21|16.09|39352.4711851|1650.0|17160.0788834|Y|1998-11-07|C14|B|4|5A|17|0|*2|R|325.0|1|R|2|I|481.32514137|50.0|5100|2013-04-13|00:00:00.108872|11|1|495|M|8701|N|1|N|P|2|1528234|5|909|8|930|C|7395|392|434|8|*2|N|2010-10-22|Y|2011-08-29 00:00:01|216|M|2005-05-15 00:00:00|02|02|Y|Y|*2|376|0|1|0|7|93157274.6186|0|27.02992
2837479|23784752|Y|2006-03-27|132.73|26333.6514076|4200.0|-622.664232882|Y|2001-09-09|026|B|4|5N|38|0|*2|A|434.99|4|T|1|B|10931.9662235|105.0|1000|2013-06-08|00:00:00.108872|50|8|109|N|69127|F|2|X|M|2|1597249|7|256|28|694|D|7929|246|642|5|*2|Y|2009-04-23|N|2013-06-19 00:00:01|185|P|2012-03-19 00:00:00|05|00|Y|Y|*2|376|0|2|0|7|null|2|221.40825
7472082|41672876|Y|2007-12-10|190.91|12304.9140662|2750.0|15772.2694228|Y|2000-10-01|254|B|4|5Y|22|4|*2|F|52.59|4|P|2|I|2038.8836041|220.0|1000|2013-01-30|00:00:00.108872|17|1|221|N|46821|A|9|X|M|4|1304040|3|534|8|667|N|5251|356|648|8|*2|Y|2011-12-23|Y|2006-09-14 00:00:01|938|P|2008-10-15 00:00:00|06|01|N|Y|*2|986|0|1|7|1|30908592.857|0|23.438583
6264680|72430171|N|2008-01-29|60.0|11443.9349057|4750.0|1896.09328725|Y|2003-09-01|256|B|4|5W|3|0|*2|R|12.94|7|R|2|I|7236.23156843|42.25|5100|2013-05-21|00:00:00.108872|11|8|298|M|69452|A|1|X|N|5|45022|6|66|16|194|R|5331|372|514|8|*2|Y|2006-06-05|N|2006-10-29 00:00:01|54|P|2011-05-20 00:00:00|00|02|N|null|*2|124|0|1|9|7|10407937.2994|2|22.41918
1771530|40020928|N|2006-12-19|249.75|6963.58264401|550.0|15939.6819794|Y|1988-08-13|040|B|4|5W|18|1|*2|R|76.95|4|C|1|I|14127.6665888|607.5|5100|2013-01-12|00:00:00.108872|00|1|476|N|77262|S|1|X|M|0|1336549|*2|550|14|85|O|2741|124|740|5|*2|null|2013-07-10|N|2006-12-10 00:00:01|222|C|2005-11-29 00:00:00|71|01|Y|Y|*2|978|0|1|4|3|3136657.60838|8|91.582085
4800183|457145|Y|2005-12-25|2850.0|18939.6819837|8900.0|13785.3594541|Y|1990-02-18|C21|B|X|5Z|18|3|*2|D|122.53|8|U|2|B|2432.21575068|263.0|5100|2013-02-24|00:00:00.108872|50|8|275|N|86846|S|1|M|P|0|1512749|2|260|11|217|C|9754|356|345|8|*2|Y|2004-07-01|Y|null|879|P|2011-02-28 00:00:00|00|90|Y|Y|*2|410|0|0|1|7|30489939.3712|8|1055.1959
8003789|82947066|Y|null|920.73|24208.2665244|1010.0|5715.9748711|Y|2011-06-25|057|B|X|5A|38|1|*2|F|155.65|4|R|2|I|10952.4541692|55.0|1000|2013-04-19|00:00:00.108872|17|8|7|M|81277|F|2|N|N|1|1336549|*2|481|28|527|R|3592|380|385|5|*2|Y|2007-07-31|Y|null|39|C|2012-03-10 00:00:00|02|02|Y|Y|*2|348|0|0|7|7|67321445.0461|1|0.0
28851|55430853|Y|2009-12-15|297.64|38536.256076|9200.0|11524.6966006|null|1990-11-08|022|B|4|5A|21|4|*2|F|113.8|3|S|1|I|541.426740625|206.0|5100|2013-03-14|00:00:00.108872|11|1|86|N|44820|A|9|M|M|2|2726430|6|76|5|173|O|8049|840|514|8|*2|N|2007-04-24|N|2011-05-09 00:00:01|511|P|2003-06-29 00:00:00|51|02|Y|Y|*2|156|0|1|8|2|76867978.9373|1|7.8377657
8506261|91618332|Y|2005-04-14|1611.84|9955.46237786|8100.0|2561.92519034|Y|2003-01-01|022|B|X|5Z|5|3|*2|F|116.51|4|K|1|B|14115.6666522|204.0|5100|2013-06-22|00:00:00.108872|50|2|406|M|23128|A|0|M|S|1|1515450|*2|64|11|183|S|5511|480|186|5|*2|Y|2013-08-03|N|null|361|C|2009-09-01 00:00:00|71|02|Y|Y|*2|356|0|2|8|0|75328103.2414|0|94.695015
654325|82089967|N|2008-08-15|165.86|37942.5031595|4250.0|13745.7243083|Y|1998-03-03|C14|B|X|5W|25|0|*2|F|54.04|8|P|2|B|15830.2450516|406.0|1000|2013-03-19|00:00:00.108872|50|1|166|N|17965|N|0|X|P|4|2957136|4|36|5|966|T|8021|642|422|8|*2|N|2010-11-17|N|2007-12-20 00:00:01|205|M|2006-12-19 00:00:00|52|00|Y|Y|*2|410|0|0|6|7|83481590.5177|1|11.014519
5243452|20028089|Y|null|266.81|26366.4878867|1575.0|109.844897254|Y|2002-12-27|252|B|X|5A|21|1|*2|D|36.89|7|R|2|B|134.436300703|103.5|1000|2013-06-01|00:00:00.108872|00|8|253|N|71310|N|0|M|N|5|0|7|91|2|890|A|3509|372|396|5|*2|N|2013-05-05|Y|2003-04-15 00:00:01|581|C|2011-05-20 00:00:00|02|01|Y|Y|*2|752|0|1|1|1|82548286.7434|2|2.3810976
2152264|88485865|Y|2009-04-01|88.58|2358.2987971|4650.0|10312.3174073|Y|1984-06-10|013|B|X|5A|30|3|*2|D|35.4|3|K|1|I|1997.88073593|367.0|1000|2013-03-22|00:00:00.108872|00|8|123|M|17336|F|1|M|M|3|1528234|2|648|22|83|R|6011|188|893|8|*2|N|2004-07-05|Y|2007-10-26 00:00:01|572|P|2004-01-24 00:00:00|51|02|Y|null|*2|124|0|2|8|3|null|8|22.852829
8853034|28822923|Y|2007-09-21|946.69|25248.8983998|1500.0|7551.23946146|Y|2005-10-18|010|B|X|5Y|35|3|*2|A|16.31|2|R|1|B|2425.8008872|203.5|5100|2013-04-27|00:00:00.108872|00|2|301|M|30127|A|null|N|N|4|1000000|4|611|4|21|T|7512|458|173|8|*2|N|2005-10-01|Y|2008-04-16 00:00:01|396|M|null|08|01|Y|Y|*2|376|0|0|2|4|53179107.7144|8|160.68582
2170273|78291037|N|2009-02-03|3427.21|32802.6685406|401.0|292.095735096|Y|1990-01-22|256|B|4|5N|10|0|*2|R|43.44|7|N|1|B|3409.10309283|306.0|1000|2013-07-29|00:00:00.108872|50|1|902|M|24362|N|2|N|P|5|1519849|6|254|6|928|S|7392|276|685|5|*2|Y|2010-06-02|Y|2012-11-08 00:00:01|567|P|2007-11-03 00:00:00|00|90|N|Y|*2|484|0|2|9|4|36716933.9457|1|177.70238
5663172|47967568|N|2008-11-07|87.71|33725.7100368|320.0|8906.14599802|Y|2013-07-08|L05|B|X|5Z|37|2|*2|F|72.11|0|E|2|I|13344.5664049|1700.0|1000|2013-03-05|00:00:00.108872|11|8|30|N|75087|A|9|N|P|3|0|*2|565|6|126|N|7349|076|181|5|*2|Y|2010-12-04|N|2004-09-06 00:00:01|654|M|2006-12-31 00:00:00|05|02|Y|Y|*2|524|0|1|6|5|70522290.7055|8|7.2304335
8730762|37806708|Y|null|35.2|-548.141434939|4500.0|12303.4755597|Y|2003-06-01|L05|B|4|5Y|26|3|*2|F|13.86|3|K|1|I|10882.3178286|607.5|5100|2013-07-20|00:00:00.108872|17|1|185|M|48958|S|1|M|P|3|1512749|0|5|6|931|N|3662|246|757|8|*2|Y|2006-08-31|Y|2010-10-31 00:00:01|65|M|2010-01-26 00:00:00|71|81|null|Y|*2|124|0|1|7|0|1178208.47785|8|2382.2766
391310|6979547|Y|2007-03-01|5.5|31126.1386128|4600.0|10783.2620242|null|1986-03-31|L06|B|X|5W|33|3|*2|F|11.62|null|T|1|I|3425.67914716|300.0|1000|2013-06-18|00:00:00.108872|50|2|813|N|71846|S|2|N|P|5|2718056|*2|714|0|856|N|5251|280|492|5|*2|Y|2010-03-13|N|2012-06-06 00:00:01|800|M|2006-12-11 00:00:00|52|01|Y|Y|*2|348|0|2|4|0|95804738.2081|1|6.5432987
2692843|49018134|N|2005-01-02|45.5|18091.8675369|4900.0|5823.2967529|Y|2000-11-20|013|B|X|5Z|30|2|*2|A|1267.2|5|I|2|I|14959.5887579|385.9|5100|2013-04-23|00:00:00.108872|11|2|135|M|47636|S|2|M|M|null|1328250|5|220|9|599|T|3389|376|346|8|*2|Y|2010-06-13|Y|2004-03-13 00:00:01|654|C|2006-09-17 00:00:00|71|00|Y|Y|*2|986|0|2|8|2|46683095.9664|8|8.834994
7764528|48595379|N|2008-10-23|-169.0|18028.1082962|341.0|1722.29987941|null|1988-01-16|024|B|4|5X|35|0|*2|D|280.24|6|R|2|B|14414.49176|205.0|1000|2013-02-09|00:00:00.108872|17|2|78|null|78037|N|0|N|P|1|2726430|*2|270|6|258|D|7298|124|373|5|*2|N|2011-10-17|N|2012-10-04 00:00:01|446|P|2010-11-10 00:00:00|02|90|Y|Y|*2|410|0|0|9|3|72154322.0887|1|2535.1245
1393837|49440286|N|2007-05-15|260.33|1161.55199531|3250.0|6812.94143868|Y|1991-12-03|022|B|4|5X|27|0|*2|R|4.77|3|P|2|B|252.75313975|169.17|5100|2013-01-10|00:00:00.108872|17|8|159|N|53827|A|2|M|M|5|2707532|4|617|14|496|N|5542|188|747|8|*2|Y|2007-08-23|N|2004-06-27 00:00:01|421|M|2011-07-28 00:00:00|01|81|Y|Y|*2|156|0|2|2|3|67862618.6077|8|1078.4935
8512233|5146954|N|2007-11-09|257.0|37142.7825521|4405.0|9301.77598848|Y|2012-11-15|014|B|4|5Y|4|1|*2|F|58.07|0|C|2|B|6310.11950601|104.5|1000|2013-05-07|00:00:00.108872|50|1|53|N|19705|A|2|N|M|4|1597249|5|459|9|796|T|5992|250|358|5|*2|Y|2012-05-31|N|2012-09-22 00:00:01|64|M|2008-02-15 00:00:00|05|90|N|null|*2|124|0|2|1|2|null|8|4.7897525
7530955|90464324|Y|2008-05-08|113.0|3433.80144615|4250.0|-224.166433258|Y|1985-09-02|053|B|4|5Y|12|0|*2|R|25.64|3|W|2|B|14146.8752154|72.0|5100|2013-07-17|00:00:00.108872|17|8|12|M|64527|A|0|N|S|5|19837|2|285|11|628|T|3675|344|709|5|*2|N|2007-10-23|N|2009-06-01 00:00:01|97|P|2011-08-09 00:00:00|00|01|N|Y|*2|348|0|null|5|2|84526919.8746|8|5.436598
7240637|28357445|N|2012-08-26|142.46|30111.7971275|23000.0|10733.075481|Y|2007-09-27|021|null|4|5W|21|3|*2|R|437.66|3|S|2|I|14717.2126338|304.5|5100|2013-05-14|00:00:00.108872|00|8|272|N|95477|S|1|null|M|2|4159301|0|710|11|355|T|5968|156|825|5|*2|N|2007-01-26|Y|2012-08-08 00:00:01|766|C|2009-09-22 00:00:00|01|00|N|null|*2|752|0|1|8|4|70493649.2903|2|10.457696
8556041|30774434|N|2008-01-08|132.73|18848.1473306|400.0|8170.02871064|Y|2001-05-16|L04|B|X|5X|13|4|*2|F|21.03|7|C|2|I|4725.50472147|365.0|1000|2013-04-03|00:00:00.108872|11|1|58|N|35734|A|9|M|P|0|786819|2|584|7|395|T|5310|642|708|5|*2|Y|null|Y|2006-01-13 00:00:01|239|M|2012-05-24 00:00:00|71|00|N|Y|*2|752|0|0|8|2|6484907.02277|0|1343.0249
622192|44428188|N|2005-06-24|37.34|2371.68310007|1510.0|4311.39887079|Y|1990-11-25|056|B|X|5Y|12|3|*2|A|20.27|3|P|2|B|3671.28277336|220.0|5100|2013-07-15|00:00:00.108872|50|8|1150|N|86174|N|2|M|N|4|1308150|*2|618|10|596|R|3509|630|370|5|*2|Y|2011-05-23|N|2013-07-02 00:00:01|457|M|2007-04-25 00:00:00|51|02|Y|Y|*2|840|0|0|7|3|87368752.9495|0|7.5368276
1843869|89369950|N|2007-03-17|95.18|21517.5925729|1350.0|11290.5205092|Y|2010-05-13|L03|B|null|5X|35|4|*2|D|457.9|7|N|2|I|11505.0139063|2.0|1000|2013-08-12|00:00:00.108872|17|2|202|N|98664|A|2|M|P|0|1303949|4|713|4|213|R|5046|250|860|5|*2|Y|2009-07-27|N|2007-03-24 00:00:01|208|C|2008-09-22 00:00:00|05|00|Y|Y|*2|752|0|0|1|7|14136923.546|8|105.19373
3020875|55211654|N|2011-12-02|4455.05|14376.4272984|30000.0|3498.65478421|Y|2006-09-16|020|B|4|5X|31|1|*2|F|12.94|3|R|1|B|6203.75472086|204.0|5100|2013-05-28|00:00:00.108872|00|8|838|N|22146|S|1|X|S|4|102658|7|91|28|446|N|5251|458|786|5|*2|Y|2007-05-04|Y|2010-06-13 00:00:01|604|C|2006-11-01 00:00:00|52|00|Y|Y|*2|410|0|2|7|5|88083302.7822|8|146.41943
3596196|81353206|Y|null|2300.0|10509.8042129|251.0|12273.5844491|Y|1997-06-06|C01|B|X|5N|38|2|*2|D|9.93|2|I|2|B|16035.2006603|21.5|5100|2013-04-17|00:00:00.108872|17|2|73|N|73415|A|2|M|P|2|1510749|3|306|14|329|T|5948|630|508|8|*2|N|2011-09-14|N|2011-10-06 00:00:01|379|P|2003-11-01 00:00:00|01|02|N|Y|*2|392|0|2|0|5|50917554.7544|2|2018.2103
4792485|39172851|N|2009-03-21|1744.66|32861.294363|7500.0|14420.1740585|Y|2002-07-30|259|B|4|5N|1|4|*2|A|37.03|6|E|1|B|11124.9919374|102.0|5100|2013-07-01|00:00:00.108872|17|2|310|null|49376|F|0|X|S|null|1310550|5|225|22|608|R|5973|188|257|8|*2|null|null|Y|2007-11-06 00:00:01|792|P|2010-07-27 00:00:00|01|81|N|Y|*2|458|0|2|7|7|70440692.2067|0|199.9888
1951137|32081210|N|2013-07-04|499.92|22837.8772641|651.0|6656.71063115|Y|1993-09-23|022|B|null|5W|1|3|*2|R|57.28|8|P|2|I|10478.1916375|246.0|5100|2013-05-28|00:00:00.108872|50|1|237|N|22159|N|2|X|null|0|9650180|7|845|10|229|A|8062|484|825|5|*2|Y|2009-09-24|N|2010-06-29 00:00:01|674|C|2003-10-10 00:00:00|01|01|N|Y|*2|978|0|1|8|4|57297661.0514|2|38.149242
2183411|23824317|Y|2010-01-03|2995.68|25755.791109|2642.0|-299.503710152|Y|1985-02-05|015|B|X|5Y|35|4|*2|R|47.53|3|T|1|I|3518.14761721|153.0|1000|2013-04-30|00:00:00.108872|11|8|256|M|63255|S|9|N|N|5|19837|5|647|8|593|N|7999|524|482|8|*2|null|2012-06-19|Y|2003-12-24 00:00:01|760|C|2008-09-12 00:00:00|51|02|N|Y|*2|946|0|0|7|5|null|2|861.79816
5929463|87105024|Y|2010-03-06|176.32|3161.87434071|1539.0|8780.31540536|Y|2005-05-02|254|B|4|5X|31|3|*2|F|89.77|4|N|2|I|14935.4989518|22.95|1000|2013-06-20|00:00:00.108872|17|null|141|N|44904|S|9|N|M|4|1285950|2|218|4|489|O|9399|642|919|8|*2|N|2010-04-13|Y|2010-04-01 00:00:01|339|P|2009-11-11 00:00:00|06|90|N|Y|*2|946|0|1|9|1|85899202.7151|8|7.2058206
6523177|54792118|Y|2013-01-23|249.57|33654.321417|3900.0|11995.6484357|null|2006-06-07|056|B|X|5Z|15|3|*2|F|75.8|3|S|2|I|3443.2876497|142.95|5100|2013-06-15|00:00:00.108872|11|2|152|M|22001|S|2|null|N|5|1295650|7|812|8|608|A|3076|188|219|5|*2|Y|2008-10-15|Y|2010-08-23 00:00:01|94|M|2008-01-04 00:00:00|52|00|N|Y|*2|392|0|2|5|3|3800257.4381|1|13.663188
4546039|48907145|Y|2010-04-01|127.5|16356.1223836|3300.0|1002.64739403|Y|2001-07-06|025|null|4|5Y|33|1|*2|R|6.33|7|N|1|I|9404.72723153|103.0|1000|2013-05-13|00:00:00.108872|11|1|209|N|68393|S|1|X|N|3|1287649|4|892|2|480|N|7217|076|499|8|*2|Y|2010-10-07|N|2012-12-11 00:00:01|959|C|2012-07-06 00:00:00|08|81|Y|null|*2|826|0|2|0|5|56753376.8318|0|10.9940605
6627629|74815467|N|2009-06-17|363.83|39406.6176083|2030.0|11646.466899|Y|1996-08-20|013|B|X|5A|14|0|*2|R|38.87|4|T|1|I|2398.48585859|406.0|5100|2013-01-11|00:00:00.108872|17|1|55|M|76828|F|0|M|P|1|1304040|6|268|7|46|T|8351|630|379|5|*2|Y|2010-02-10|N|2011-06-17 00:00:01|559|C|2004-06-21 00:00:00|51|81|N|Y|*2|458|0|1|7|3|77100913.9517|8|5.2845697
8448845|83000025|N|2007-04-08|296.2|19031.7077437|4750.0|9848.19392906|Y|2005-12-23|056|B|X|5Z|27|4|*2|R|22.16|5|N|2|B|186.136106847|303.0|1000|2013-08-06|00:00:00.108872|17|8|405|N|57336|F|9|X|M|2|101368|6|575|8|59|O|7941|356|929|8|*2|N|2009-07-07|N|null|22|P|2006-09-15 00:00:00|02|00|N|Y|*2|392|0|2|5|3|25750193.6337|8|2.6450346
6868578|7880587|N|2005-03-11|934.21|23775.9034198|801.0|-639.615323395|Y|2001-11-19|022|B|4|5Z|30|1|*2|D|317.8|6|N|1|I|6594.52506343|44.95|5100|2013-02-20|00:00:00.108872|00|2|16|N|12827|N|9|N|N|1|1528234|7|514|11|362|A|4900|826|880|5|*2|Y|2007-03-31|Y|2005-08-10 00:00:01|841|P|2008-09-15 00:00:00|51|81|Y|Y|*2|376|0|2|1|4|22623989.3417|8|646.5836
2631020|80445730|Y|2004-09-26|2250.0|34877.3234775|8300.0|10914.9178746|Y|2006-02-12|058|B|X|5X|4|2|*2|D|239.96|5|I|1|I|5314.06055529|1700.0|1000|2013-05-25|00:00:00.108872|00|2|78|N|80044|A|9|X|M|4|1519849|5|3|16|878|C|8641|156|141|5|*2|Y|2008-06-30|Y|2005-12-28 00:00:01|480|P|null|02|90|Y|Y|*2|458|0|2|1|3|88531832.808|1|4.8254013
8270779|87595110|Y|null|296.01|18939.6112944|2100.0|11520.2021805|Y|1988-04-01|022|B|4|5A|17|4|*2|A|2690.0|7|R|2|I|3324.15513624|103.5|1000|2013-07-28|00:00:00.108872|11|1|42|M|27111|N|1|N|P|1|2726430|1|249|22|970|C|7996|380|191|8|*2|Y|2011-03-20|Y|2007-07-23 00:00:01|590|M|2003-12-26 00:00:00|51|02|Y|Y|*2|356|0|1|1|1|59026360.2988|1|12.918567
2160323|37372399|N|2011-10-17|705.13|9492.44793098|1250.0|10140.7145797|null|1997-04-12|256|B|X|5X|4|4|*2|D|107.99|3|U|1|I|1675.44015071|42.25|1000|2013-06-22|00:00:00.108872|00|8|647|M|30233|F|9|M|M|0|1560749|4|950|10|943|O|5592|410|939|8|*2|Y|2005-05-25|Y|2010-07-26 00:00:01|215|P|2008-02-13 00:00:00|01|01|Y|Y|*2|986|0|2|9|2|21338331.5481|2|800.5439
446459|91209247|Y|2012-09-04|1.58|3166.0755376|4405.0|197.391161264|Y|2012-08-14|056|B|4|5A|21|0|*2|F|34.57|3|S|1|I|9058.76604226|203.99|5100|2013-02-23|00:00:00.108872|00|8|499|N|92529|N|null|N|N|4|1559950|1|940|9|132|O|5947|410|253|5|*2|Y|null|N|2008-12-28 00:00:01|539|C|2005-05-30 00:00:00|08|81|Y|Y|*2|524|0|0|0|4|44377377.2403|0|239.11928
633961|77495314|N|2007-09-27|169.46|9382.5388906|2700.0|5799.85831417|Y|1990-09-02|058|null|X|5X|22|1|*2|R|12.31|4|N|2|I|15831.928716|42.5|5100|2013-04-20|00:00:00.108872|11|2|4095|M|90117|F|null|M|S|2|1524051|6|843|2|146|N|5199|250|373|8|*2|Y|null|N|2009-06-19 00:00:01|653|M|2004-09-28 00:00:00|05|90|Y|Y|*2|484|0|1|5|4|93246643.2714|1|2094.0718
5632018|81846461|N|2005-11-11|1071.1|27064.3980235|320.0|8133.69281568|Y|1988-09-28|023|null|4|null|28|1|*2|D|33.99|4|R|2|B|727.929516281|304.0|1000|2013-07-09|00:00:00.108872|17|8|257|null|22118|A|0|X|P|0|1332150|7|893|0|272|S|3791|752|86|8|*2|Y|2012-02-03|Y|2006-10-07 00:00:01|963|M|null|02|90|Y|Y|*2|978|0|2|0|7|96394253.3232|1|43.187218
5878267|77803973|N|2006-05-10|205.91|20301.3659523|251.0|4220.52694776|Y|1986-07-17|C14|B|X|5A|7|0|*2|A|2.51|5|K|2|I|12925.0130821|400.0|1000|2013-05-03|00:00:00.108872|11|2|14|N|79836|A|2|N|S|2|1528234|1|543|9|976|C|7512|630|994|8|*2|Y|2008-11-12|Y|2010-04-04 00:00:01|484|P|null|52|01|N|Y|*2|410|0|0|6|3|92753485.8735|1|323.08234
